2026-04-19 21:21:28,549 - INFO - code:000039.SZ,dateBegin:2024-01-20 00:00:00,buyPrice:7.72,endDate:20240208,endPrice:8.57.result:win
2026-04-19 21:21:28,826 - INFO - code000042.SZ,dateBegin:2014-03-10 00:00:00,buyPrice:9.84,endDate:20140310,endPrice:9.22.result:lose
2026-04-19 21:21:29,443 - INFO - code:001914.SZ,dateBegin:2008-11-08 00:00:00,buyPrice:1.15,endDate:20081114,endPrice:1.33.result:win
2026-04-19 21:21:29,838 - INFO - code000045.SZ,dateBegin:2019-02-17 00:00:00,buyPrice:6.72,endDate:20190220,endPrice:6.37.result:lose
2026-04-19 21:21:30,360 - INFO - code000048.SZ,dateBegin:2000-09-21 00:00:00,buyPrice:4.42,endDate:20010726,endPrice:4.16.result:lose
2026-04-19 21:21:30,904 - INFO - code000049.SZ,dateBegin:2000-12-18 00:00:00,buyPrice:5.25,endDate:20010727,endPrice:4.89.result:lose
2026-04-19 21:21:31,328 - INFO - code000050.SZ,dateBegin:2000-05-24 00:00:00,buyPrice:4.08,endDate:20010730,endPrice:3.67.result:lose
2026-04-19 21:21:31,561 - INFO - code000055.SZ,dateBegin:2019-04-20 00:00:00,buyPrice:7.11,endDate:20190423,endPrice:6.39.result:lose
2026-04-19 21:21:31,895 - INFO - code000056.SZ,dateBegin:2008-08-16 00:00:00,buyPrice:1.98,endDate:20080826,endPrice:1.83.result:lose
2026-04-19 21:21:32,254 - INFO - code000058.SZ,dateBegin:2005-01-16 00:00:00,buyPrice:3.67,endDate:20050120,endPrice:3.43.result:lose
2026-04-19 21:21:32,606 - INFO - code000059.SZ,dateBegin:2005-02-20 00:00:00,buyPrice:3.09,endDate:20050318,endPrice:2.86.result:lose
2026-04-19 21:21:32,927 - INFO - code:000060.SZ,dateBegin:2010-11-26 00:00:00,buyPrice:8.41,endDate:20101213,endPrice:9.56.result:win
2026-04-19 21:21:33,326 - INFO - code000061.SZ,dateBegin:2001-03-16 00:00:00,buyPrice:2.14,endDate:20010730,endPrice:1.93.result:lose
2026-04-19 21:21:33,740 - INFO - code000062.SZ,dateBegin:2002-03-12 00:00:00,buyPrice:4.28,endDate:20020313,endPrice:4.01.result:lose
2026-04-19 21:21:33,941 - INFO - code000063.SZ,dateBegin:2023-03-20 00:00:00,buyPrice:33.99,endDate:20230320,endPrice:31.85.result:lose
2026-04-19 21:21:34,213 - INFO - code000065.SZ,dateBegin:2017-07-30 00:00:00,buyPrice:14.48,endDate:20170802,endPrice:13.44.result:lose
2026-04-19 21:21:34,626 - INFO - code000066.SZ,dateBegin:1999-08-05 00:00:00,buyPrice:4.06,endDate:20010726,endPrice:3.68.result:lose
2026-04-19 21:21:34,848 - INFO - code:000068.SZ,dateBegin:2023-07-30 00:00:00,buyPrice:3.59,endDate:20240118,endPrice:4.14.result:win
2026-04-19 21:21:35,111 - INFO - code:000069.SZ,dateBegin:2013-07-19 00:00:00,buyPrice:4.27,endDate:20130801,endPrice:4.79.result:win
2026-04-19 21:21:35,420 - INFO - code:000070.SZ,dateBegin:2010-09-03 00:00:00,buyPrice:3.84,endDate:20101101,endPrice:4.25.result:win
2026-04-19 21:21:35,697 - INFO - code:000078.SZ,dateBegin:2012-12-31 00:00:00,buyPrice:2.3,endDate:20130108,endPrice:2.75.result:win
2026-04-19 21:21:36,066 - INFO - code000088.SZ,dateBegin:2000-10-11 00:00:00,buyPrice:2.09,endDate:20010730,endPrice:1.92.result:lose
2026-04-19 21:21:36,278 - INFO - code000089.SZ,dateBegin:2023-03-11 00:00:00,buyPrice:6.93,endDate:20230831,endPrice:6.57.result:lose
2026-04-19 21:21:36,471 - INFO - code000090.SZ,dateBegin:2024-03-23 00:00:00,buyPrice:4.18,endDate:20240412,endPrice:3.97.result:lose
2026-04-19 21:21:36,682 - INFO - code:000096.SZ,dateBegin:2024-02-14 00:00:00,buyPrice:10.04,endDate:20240412,endPrice:11.13.result:win
2026-04-19 21:21:36,904 - INFO - code000099.SZ,dateBegin:2020-01-17 00:00:00,buyPrice:7.22,endDate:20200123,endPrice:6.78.result:lose
2026-04-19 21:21:37,183 - INFO - code:000100.SZ,dateBegin:2014-01-10 00:00:00,buyPrice:1.66,endDate:20140127,endPrice:1.83.result:win
2026-04-19 21:21:37,590 - INFO - code000151.SZ,dateBegin:2003-01-02 00:00:00,buyPrice:6.73,endDate:20030106,endPrice:6.38.result:lose
2026-04-19 21:21:37,821 - INFO - code000153.SZ,dateBegin:2019-07-30 00:00:00,buyPrice:4.16,endDate:20190806,endPrice:3.83.result:lose
2026-04-19 21:21:38,058 - INFO - code000155.SZ,dateBegin:2018-11-18 00:00:00,buyPrice:4.07,endDate:20181123,endPrice:3.83.result:lose
2026-04-19 21:21:38,370 - INFO - code:000156.SZ,dateBegin:2008-05-27 00:00:00,buyPrice:10.06,endDate:20121019,endPrice:11.31.result:win
2026-04-19 21:21:38,505 - INFO - code000157.SZ,dateBegin:2026-03-27 00:00:00,buyPrice:8.53,endDate:20260417,endPrice:8.07.result:lose
2026-04-19 21:21:38,746 - INFO - code000158.SZ,dateBegin:2017-10-15 00:00:00,buyPrice:10.63,endDate:20171019,endPrice:10.03.result:lose
2026-04-19 21:21:39,006 - INFO - code000159.SZ,dateBegin:2016-10-23 00:00:00,buyPrice:8.05,endDate:20161212,endPrice:7.64.result:lose
2026-04-19 21:21:39,243 - INFO - code:000301.SZ,dateBegin:2017-06-10 00:00:00,buyPrice:5.08,endDate:20171010,endPrice:5.59.result:win
2026-04-19 21:21:39,601 - INFO - code:000400.SZ,dateBegin:2007-12-03 00:00:00,buyPrice:9.48,endDate:20080109,endPrice:10.94.result:win
2026-04-19 21:21:39,906 - INFO - code:000401.SZ,dateBegin:2011-09-12 00:00:00,buyPrice:12.19,endDate:20110921,endPrice:13.47.result:win
2026-04-19 21:21:40,083 - INFO - code000402.SZ,dateBegin:2023-04-21 00:00:00,buyPrice:5.08,endDate:20230516,endPrice:4.8.result:lose
2026-04-19 21:21:40,312 - INFO - code000403.SZ,dateBegin:2023-06-17 00:00:00,buyPrice:15.41,endDate:20230706,endPrice:14.58.result:lose
2026-04-19 21:21:40,528 - INFO - code:000404.SZ,dateBegin:2020-02-11 00:00:00,buyPrice:2.95,endDate:20200224,endPrice:3.25.result:win
2026-04-19 21:21:40,764 - INFO - code000407.SZ,dateBegin:2017-10-27 00:00:00,buyPrice:7.73,endDate:20171030,endPrice:7.25.result:lose
2026-04-19 21:21:40,976 - INFO - code000408.SZ,dateBegin:2021-07-27 00:00:00,buyPrice:22.6,endDate:20210728,endPrice:20.68.result:lose
2026-04-19 21:21:41,131 - INFO - code:000409.SZ,dateBegin:2025-01-25 00:00:00,buyPrice:9.49,endDate:20250303,endPrice:10.7.result:win
2026-04-19 21:21:41,558 - INFO - code000410.SZ,dateBegin:2002-05-24 00:00:00,buyPrice:3.49,endDate:20020529,endPrice:3.31.result:lose
2026-04-19 21:21:41,819 - INFO - code:000411.SZ,dateBegin:2015-01-09 00:00:00,buyPrice:17.57,endDate:20150615,endPrice:21.26.result:win
2026-04-19 21:21:42,006 - INFO - code000415.SZ,dateBegin:2023-03-15 00:00:00,buyPrice:2.2,endDate:20230410,endPrice:2.07.result:lose
2026-04-19 21:21:42,354 - INFO - code:000417.SZ,dateBegin:2005-07-17 00:00:00,buyPrice:0.43,endDate:20050726,endPrice:0.48.result:win
2026-04-19 21:21:42,741 - INFO - code000419.SZ,dateBegin:2000-11-05 00:00:00,buyPrice:3.33,endDate:20010730,endPrice:3.05.result:lose
2026-04-19 21:21:43,037 - INFO - code:000420.SZ,dateBegin:2010-02-10 00:00:00,buyPrice:3.02,endDate:20100408,endPrice:3.33.result:win
2026-04-19 21:21:43,220 - INFO - code000421.SZ,dateBegin:2023-03-11 00:00:00,buyPrice:4.82,endDate:20230410,endPrice:4.54.result:lose
2026-04-19 21:21:43,576 - INFO - code000422.SZ,dateBegin:2002-02-24 00:00:00,buyPrice:1.67,endDate:20020301,endPrice:1.58.result:lose
